===============================>TPCDSQuery stream 0
TPCDSQuery 1: 522 ms
TPCDSQuery 2: 432 ms
TPCDSQuery 3: 558 ms
TPCDSQuery 4: 317 ms
TPCDSQuery 5: 584 ms
TPCDSQuery 6: 479 ms
TPCDSQuery 7: 1248 ms
TPCDSQuery 8: 699 ms
TPCDSQuery 9: 1666 ms
TPCDSQuery 10: 686 ms
TPCDSQuery 11: 393 ms
TPCDSQuery 12: 578 ms
TPCDSQuery 13: 523 ms
TPCDSQuery 14: 422 ms
TPCDSQuery 15: 474 ms
TPCDSQuery 16: 991 ms
TPCDSQuery 17: 928 ms
TPCDSQuery 18: 652 ms
TPCDSQuery 19: 812 ms
TPCDSQuery 20: 678 ms
TPCDSQuery 21: 961 ms
TPCDSQuery 22: 461 ms
